company_name,website,batch,team_size,fit_score,tech_stack,blog_url,customers_or_partners,location,priority_score
Deed,https://www.joindeed.com,S21,40.0,3,['Webflow'],https://www.joindeed.com/blog,[],New York,6
Truewind,https://www.truewind.ai/,W23,12.0,4,"['Framer', 'Vue']",https://www.truewind.ai/blog,"['we help customers achieve measurable results', 'faster bank categorization', 'transaction work absorbed', 'reduction in reconciliation time', '95 improvement', 'coursecorrected        18 months', 'coursecorrected 18 months', 'im an enterprise what does truewind do for me', 'im a startup  smb what does truewind do for me', 'what does a partnership with truewind look like']",San Francisco,6
Curacel,https://curacel.co,W22,30.0,3,['Webflow'],https://curacel.co/blog,[],"Lagos, Nigeria",6
SwiftSku,https://swiftsku.com,W21,35.0,3,['Webflow'],https://swiftsku.com/blog,[],San Francisco,6
Tailor,https://www.tailor.tech/,S22,16.0,5,"['Framer', 'Shopify']",https://www.tailor.tech/blog,[],"Tokyo, Japan",6
Cinder,http://www.cinder.co,W22,20.0,3,['Webflow'],http://www.cinder.co/blog,[],"Washington, DC",6
Pump.co,https://www.pump.co/,S22,18.0,3,['Framer'],https://www.pump.co/blog,"['wall of love', 'cloud spend across all of our customers', 'case studies', 'âit saved us 3200 just last monthâ', 'yogesh ranade', 'nextfangtechlead', 'dax', 'michael green', 'jake casto', 'david sievers']",San Francisco,6
BotCity,https://botcity.dev,W22,18.0,3,['Webflow'],https://botcity.dev/insights,[],San Francisco,6
Versori,https://www.versori.com/,W23,16.0,3,"['Webflow', 'Shopify', 'Vue']",https://www.versori.com/blog,"['why partner with versori', 'unlocking blocked deals', 'winning enterprise deals', 'enabling integration strategies', 'who do we partner with', 'referral', 'reseller', 'strategic alliance', 'what youâll get by partnering with versori', 'presales support']","Manchester, United Kingdom",6
Oneleet,https://oneleet.com,S22,15.0,3,['Framer'],https://oneleet.com/blog,[],"Amsterdam, Netherlands",6
Tavus,https://www.tavus.io,S21,15.0,3,['Webflow'],https://www.tavus.io/blog,[],San Francisco,6
Secoda,https://secoda.co,S21,27.0,3,['Webflow'],https://secoda.co/blog,"['by role', 'customer stories', 'how panasonic manages data at scale', 'get started in minutes', 'product', 'solutions', 'use cases', 'resources', 'company', 'social']","Toronto, Canada",6
DailyBot,https://www.dailybot.com/,S21,12.0,4,['Webflow'],https://www.dailybot.com/blog,"['resources', 'partner with us', 'dailybot partners program', 'help us shape the future of work', 'reach out in a few simple steps', 'fill out the application form', 'wait for approval usually just a few days', 'the partnership is yours â', 'i want to build on top of dailybot', 'i want to offer a service to companies']","Pereira, Colombia",6
Tenyks,http://tenyks.ai/,S21,14.0,4,['Webflow'],http://tenyks.ai/blog,"['enjoy improving your ml models', 'tenyks', 'company', 'platform', 'resources', 'logo tenyks', 'try our platform and get the early access  2', 'recycleye enhances its mlops with tenyks', 'logogdpr', 'logosoc']","Cambridge, United Kingdom",6
Theneo,https://theneo.io,W22,15.0,4,['Webflow'],https://theneo.io/blog,[],San Francisco,6
NewsCatcher,https://newscatcherapi.com/,S22,18.0,4,['Webflow'],https://newscatcherapi.com/blog,['subscribe to our newsletter'],"Kyiv, Ukraine",6
Writesonic,https://writesonic.com/,S21,30.0,4,"['Webflow', 'WordPress']",https://writesonic.com/blog,[],San Francisco,6
Metal,http://www.metal.so,W23,14.0,3,"['Webflow', 'Framer']",http://www.metal.so/blog,[],,6
Cinapse,https://cinapse.io,W22,10.0,5,['Webflow'],https://cinapse.io/blog,[],"Los Angeles, CA",6
Unify,https://unify.ai,W23,10.0,5,['Webflow'],https://unify.ai/blog,[],"London, United Kingdom",6
Typewise,https://typewise.app,S22,12.0,5,['Webflow'],https://typewise.app/blog,"['customer success stories', 'get up amp running in days not weeks', 'typewise main logotype', 'abolta logo', 'beurer logotype', 'dpd typewise client logo', 'kelag logotype', 'polaris typewisex27s client logo', 'stef logotype', 'iveco typewise client logo']","Zürich, Switzerland",6
Floworks,https://floworks.ai/,W23,13.0,3,['Webflow'],https://floworks.ai/blog,[],San Francisco,6
Waterplan,http://waterplan.com,S21,30.0,3,['Framer'],http://waterplan.com/blog,[],San Francisco,6
MobileBoost,https://www.mobileboost.io/gptdriver,S21,15.0,4,"['WordPress', 'React', 'Angular']",https://www.mobileboost.io/blog,[],San Francisco,5
Abstra,https://abstra.io,S21,10.0,4,['React'],https://abstra.io/articles,[],"Rio de Janeiro, Brazil",5
SigNoz,https://signoz.io,W21,15.0,3,['React'],sitemap_blog,[],"Bengaluru, India",5
MarqVision,https://www.marqvision.com/,S21,90.0,3,['Webflow'],https://www.marqvision.com/blog,[],"Los Angeles, CA",5
DimOrder,https://dimorder.com,W22,70.0,3,"['Framer', 'WordPress']",https://dimorder.com/blog,[],"Hong Kong, Hong Kong",5
Mindee,https://mindee.com,W21,60.0,3,['Webflow'],https://mindee.com/blog,"['partner with mindee', 'partnership models', 'technology partners', 'solution providers', 'resellers', 'partner benefits', 'technical resources', 'marketing support', 'sales enablement', 'partner portal']","Paris, France",5
Encord,https://encord.com,W21,60.0,5,"['React', 'Vue']",https://encord.com/blog,"['automotus', 'standard ai', 'conxai', 'card_logo', 'tractable', 'card cover image', 'card logo image', 'synthesia', 'woven toyota', 'mayo clinic']","London, United Kingdom",4
Verihubs,https://verihubs.com,S21,90.0,3,"['React', 'Vue']",https://verihubs.com/blog,[],"Jakarta, Indonesia",4
JustPaid.io,https://www.justpaid.io,W23,10.0,4,['Webflow'],,[],Mountain View,4
Spark Studio,https://sparkstudio.co,S21,27.0,3,[],https://sparkstudio.co/blog,[],"Bengaluru, India",3
autone,https://autone.io,S22,20.0,3,[],https://autone.io/blog,"['ready to join the retail renaissance', 'en flag', 'set the tone for', 'referral', 'solution', 'tech', 'unlock premium revenue streams', 'meet your partnership lead']","London, United Kingdom",3
Bobidi,http://www.bobidi.com,W22,15.0,5,['React'],,[],"Los Gatos, CA",3
RenderNet,https://rendernet.ai,S21,14.0,3,[],https://rendernet.ai/blog,['metafacebookimg'],"Bengaluru, India",3
Peoplebox,https://www.peoplebox.ai,S22,35.0,4,['WordPress'],https://www.peoplebox.ai/blog,"['our customers', 'read our customer success stories', 'what customers have to say about peoplebox', 'youre in good company', 'peoplebox logo', 'jaclyn hoover', 'swapna nair', 'khilan haria', 'arrow', 'group155png']",San Francisco,3
